Text,Sentiment
DPR ANJING BODOH BABI IDIOT. Tenaga Kerja gak terserap karna persyaratannya diskriminatif pemerintah gagal mencerdaskan rakyatnya sehingga SDM banyak yang tidak kompeten dan ketidak-kompetenan itu disebabkan oleh kelen yang gak becus ngurus negara dan memperbaiki regulasinya! https://t.co/vmY8tcGPzg,negatif
Warga Lumpur Gresik Geruduk PT Petro Oxo Tuntut Transparansi Rekrutmen Tenaga Kerja https://t.co/loFdh49YFw https://t.co/MXEnnuAtLL,positif
Dalam rangka mendukung operasional RSUD Labuan di Pandeglang Pemerintah Provinsi (Pemprov) Banten akan membuka lowongan kerja (Loker) rekrutmen tenaga kesehatan. Kita rekrutmen rencana pada minggu ke-2 Februari 2025 ini. Untuk semua tenaga kesehatan ini sebuah kesempatan https://t.co/4foiW38TCQ,netral
MEREKA SEDANG BERSUKA RIA KARENA WAMEN BISA RANGKAP JABATAN... ? COBA LIHAT RAKYAT RIBUAN CALON TENAGA KERJA BEREBUT KERJAAN HANYA KRN SAKING SUSAHNYA LOWONGAN PEKERJAAN DI INDONESIA BELUM LAGI YG BARU KENA PHK TAK ADA EMPATI... https://t.co/fym6Otbq0T,negatif
#KaburAjaDulu Hastag yg bikin baper pemerintah kabinet wowo Sangat miris liat situasi seperti ini anak negri pada pergi bangsa lain berdatangan dan diberi pasilitas Orang kita cari kerja keluar negeri tenaga kerja china pada kesini dan difasilitasi keren yaa Hidup Jokowi https://t.co/RamiRUN04c,negatif
Pemerintah Provinsi Jawa Timur sedang menyiapkan surat edaran yang akan melarang praktik pembatasan usia dalam rekrutmen tenaga kerja. Kebijakan ini diambil sebagai tanggapan atas masih seringnya ditemukan diskriminasi usia dalam berbagai iklan lowongan pekerjaan di daerah https://t.co/CcWBwBGyTT,negatif
Menteri Ketenagakerjaan Yassierli resmi menghapus syarat usia bagi para pencari kerja. Hal itu dituangkan melalui Surat Edaran Menteri Ketenagakerjaan Nomor M/6/HK.04/V/2025 tentang Larangan Diskriminasi dalam Proses Rekrutmen Tenaga Kerja. Di beberapa Negara spt Amerika https://t.co/X50rEmaO8S,negatif
Menteri Ketenagakerjaan Yassierli berharap tidak ada diskriminasi usia dalam rekrutmen tenaga kerja sehingga semua orang mendapatkan kesempatan yang sama. Selengkapnya: https://t.co/byYphlZxXZ #RekrutmenKerja #Menaker #Kemnaker #KatadataUpdate #Katadatacoid https://t.co/DXEcBgnjSZ,negatif
Pemerintah Provinsi Jawa Timur menerbitkan surat edaran (SE) yang melarang praktik diskriminasi usia dalam proses rekrutmen tenaga kerja. https://t.co/tVrDlS9zHm,netral
Pengumuman Rekrutmen Pegawai RSUD Pondokgede Posisi yang dibuka : 1. Perawat 2. Perawat Bedah 3. Penata Anestesi 4. Terapis Gigi dan Mulut 5. Pembimbing Keselamatan dan Kesehatan Kerja 6. Perekam Medis 7. Tenaga Koder 8. Asisten Apoteker Persyaratan Umum : - Penerimaan Pegawai https://t.co/wSPXsXMKYA,positif
Menteri Ketenagakerjaan Yassierli menerbitkan Surat Edaran (SE) Menaker tentang Larangan Diskriminasi dalam Proses Rekrutmen Tenaga Kerja. Melalui SE tersebut pemerintah melarang segala bentuk praktik diskriminatif dalam lowongan kerja termasuk syarat usia dan penampilan fisik https://t.co/dlnzw84JoB,negatif
