"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1915460723310026877","Thu Apr 24 17:39:58 +0000 2025","944","kesenjangan teknologi https://t.co/t4lIve2XPw","1915460723310026877","https://pbs.twimg.com/media/GpUVXZOawAAMluO.jpg","","in","","32","306","108","https://x.com/sxtiawan/status/1915460723310026877","1887135815568109568","sxtiawan"
"1914946569490890799","Wed Apr 23 07:36:54 +0000 2025","369","Lagi pengen nginep di tempat yang adem tenang dan jauh dari kebisingan kota? Cobain deh glamping di area pegunungan pasti akan jadi salah satu staycation paling menyegarkan yang pernah kamu rasain. Alamnya dapet teknologi tetap jalan dan suasananya bikin betah banget! https://t.co/CCswrBRQG1","1914946569490890799","https://pbs.twimg.com/media/GpNBsifbQAAPoMY.jpg","","in","Bandung, Indonesia","1","263","17","https://x.com/kolaboirator/status/1914946569490890799","768112969582469120","kolaboirator"
"1917216886796042290","Tue Apr 29 13:58:20 +0000 2025","90","‼️ Kecurangan Masif UTBK 2025: Teknologi Canggih Ordal hingga Bimbel Nakal Model Kecurangan: 1️⃣ Pengambilan soal ujian: Foto layar pakai kamera tersembunyi (behel kancing sepatu kuku dll). Rekam layar pakai software. Remote desktop via aplikasi &amp; proxy","1917216886796042290","","","in","","3","1","18","https://x.com/poin_opini/status/1917216886796042290","1280164202","poin_opini"
"1915034817328222224","Thu Apr 24 12:30:33 +0000 2025","49","@faizsadad_ Kalau mau lebih canggih cepet dan painless ada teknologi yang namanya clear aligner dia kaya braces bisa lepas pasang perawatan lebih murah kebetulan ini brandnya invisalign emang teknologinya segila itu https://t.co/O9lJ9X9zZf","1915382854869279161","https://pbs.twimg.com/media/GpTOghWbYAAqpND.jpg","faizsadad_","in","near you","0","5","2","https://x.com/comeondey/status/1915382854869279161","3089223468","comeondey"
"1915023008986743086","Wed Apr 23 12:40:39 +0000 2025","3841","obat fokus LBI lewat artikel ilmiah (sains &amp; teknologi ekonomi dan kesehatan) a thread:","1915023008986743086","","","in","she/her","20","2","979","https://x.com/jwoocoty/status/1915023008986743086","1515697616423886851","jwoocoty"
"1916317360631304311","Sun Apr 27 02:23:56 +0000 2025","230","LUAR BIASA PERJUANGAN MAHASISWA MIT ‼️ Setelah 6 bulan aksi yg dipimpin oleh mahasiswa pendukung Palestina 🇵🇸 Institut Teknologi Massachusetts (MIT) akhirnya memutuskan hubungan dengan Elbit Systems produsen senjata terbesar Israel. https://t.co/ewe2Xi1jII","1916317360631304311","https://pbs.twimg.com/amplify_video_thumb/1916317185389289472/img/e3A-QV-a0MJo1bVE.jpg","","in","","0","3","94","https://x.com/Piyusaja2/status/1916317360631304311","1610273431454625792","Piyusaja2"
"1914582934784500012","Tue Apr 22 07:31:57 +0000 2025","84","Salahguna AI. Teknologi sepatutnya digunakan untuk memudahkan urusan harian &amp; pekerjaan tapi depa guna untuk memudahkan sebar fitnah. Teruk betul perangai dak² pembangkang neh. Satu hari satu fitnah satu pahala ke apa? https://t.co/E2uaqktDqK","1914582934784500012","https://pbs.twimg.com/ext_tw_video_thumb/1914582905495674880/pu/img/xASegrby3EZqtbD0.jpg","","in","Cheras, Selangor","0","2","40","https://x.com/AmenoWorld/status/1914582934784500012","136972965","AmenoWorld"
"1915708196322500828","Fri Apr 25 10:03:20 +0000 2025","51","Siap jadi pemimpin muda yang relevan dan berdaya saing di era digital? Yuk ikuti webinar Fakta Initiative! Di sini kamu akan belajar langsung dari para pakar psikologi dan teknologi tentang bagaimana membentuk karakter kepemimpinan yang adaptif dan berdampak. Topik: https://t.co/mwCLgYZneG","1915708196322500828","https://pbs.twimg.com/media/GpX2c44bYAEDj3N.jpg","","in","DKI Jakarta, Indonesia","0","0","1","https://x.com/Faktacom_/status/1915708196322500828","1308656035201130497","Faktacom_"
"1914609113964929168","Tue Apr 22 09:15:59 +0000 2025","125","Untung siapa kerja dalam bidang ni: https://t.co/tJpDuL8qmU &amp; Insurans 2.Saintifik &amp; Teknikal 3.Teknologi &amp; Media 4.Wholesale trade 5.Perkhidmatan perniagaan 6. Manufacturing 7.Utiliti 8.Real estate rental &amp; leasing https://t.co/3b9yCjXniC 10.Pengeluaran barangan https://t.co/mstwaNNOsE","1914609113964929168","https://pbs.twimg.com/media/GpIO1pda4AIF-iy.jpg","","in","Kuala Lumpur","1","1","54","https://x.com/faridaffy/status/1914609113964929168","41559594","faridaffy"
"1915622877598273983","Fri Apr 25 04:24:19 +0000 2025","5","Dirancang untuk menemani setiap langkah bahkan di kondisi paling menantang. TECNO CAMON 40 Pro 5G hadir dengan perlindungan IP68/69 harmoni antara teknologi dan ketangguhan. Segera Hadir! 29 April 2025 #CAMON40Series #FlashSnapKiller https://t.co/zA12IbycW7","1915622877598273983","https://pbs.twimg.com/media/GpWg9V7bYAMc2JP.jpg","","in","","0","1","0","https://x.com/tecnoindonesia/status/1915622877598273983","1327091451285569536","tecnoindonesia"
"1914695747536347160","Tue Apr 22 15:00:14 +0000 2025","6553","Potret Teknologi Zaman 2000an yang bikin Kangen .... https://t.co/o3JeGzg1Wa","1914695747536347160","https://pbs.twimg.com/media/GpJdopza4AoQhUm.jpg","","in","","237","179","1120","https://x.com/PensilAajaib/status/1914695747536347160","1769085038652772352","PensilAajaib"
"1915621049569599625","Fri Apr 25 04:17:03 +0000 2025","37","3 SOFT SKILL YANG WAJIB DIMILIKI SIAPA PUN DI 2025 1. Adaptability (Kemampuan Beradaptasi) Perubahan makin cepat teknologi tren kerja dan dunia digital terus bergerak. Yang bisa bertahan adalah yang fleksibel cepat belajar dan siap berubah. 2. Emotional Intelligence","1915621049569599625","","","in","Pontianak, Kalimantan Barat","0","36","1","https://x.com/jessicaberliin/status/1915621049569599625","1303245505858646017","jessicaberliin"
"1916707384627724441","Mon Apr 28 04:13:45 +0000 2025","2819","Sekolah menengah atas (SMA) Unggul Del mendapatkan kuota terbanyak penerima Beasiswa Indonesia Maju (BIM) 4 yang disediakan oleh Kementerian Pendidikan Sains dan Teknologi. SMA ini mendominasi beasiswa dengan mengirim 17 siswa sebagai penerima. #tempodotco https://t.co/i1TzXRXcTX","1916707384627724441","https://pbs.twimg.com/media/GpmCxvxacAA9rac.jpg","","in","Indonesia","179","261","548","https://x.com/tempodotco/status/1916707384627724441","18129942","tempodotco"
"1915345473696915517","Thu Apr 24 10:02:00 +0000 2025","2813","Teknologi medis canggih dari Tiongkok memungkinkan visualisasi langsung pembuluh darah sehingga pemasangan infus dan pengambilan darah menjadi lebih efisien dan presisi. Sanghuali https://t.co/f81IceUskY","1915345473696915517","https://pbs.twimg.com/amplify_video_thumb/1915345277193773059/img/3MGFiD7c2BaA0mAL.jpg","","in","대전","42","128","288","https://x.com/kegblgnunfaedh/status/1915345473696915517","1172167188800655360","kegblgnunfaedh"
